TweetID, Weekday, Hour, Day, Lang, IsReshare, Reach, RetweetCount, Likes, Klout, Sentiment, text, UserID,Country,Gender
tw-682728338276913152,Thursday,18,31,en,FALSE,3774,0,0,45,0,"""Microsoft Azure vs Amazon AWS Public Cloud Services https://blog.znetlive.com/microsoft-azure-vs-amazon-aws/#AzurevsAWS #AmazonAWS #MicrosoftAzure""",tw-346660959,Chile,Male
tw-682728964389904384,Thursday,18,31,en,FALSE,932,2,0,0,4,How awesome it was to be in #engineering at @Battlefy -- psst they are #hiring! http://blog.battlefy.com/how-we-ship/ #docker #aws #nodejs,tw-141423083,United States,Unisex
tw-682729628818096128,Thursday,18,31,en,FALSE,1768,0,0,46,0,#AWS #/ Cloud Specialist (IT Infrastructure / Architecture) http://neuvoo.co.uk/job.php?id=p8zbummukb&source=twitter&lang=en&client_id=550&l=Stockport%20England%20GB&k=AWS%20/%20Cloud%20Specialist%20(IT%20Infrastructure%20/%20Architecture) http://twitter.com/NeuvooLogMan/status/682729628818096128/photo/1,tw-3121452250,United Kingdom,Male
tw-682730725548945409,Thursday,18,31,en,TRUE,7297,44,0,59,0,RT @monkchips: I think there is a world market for maybe five computers - @awscloud is one of them.,tw-14435477,United States,Male
tw-682732948978831360,Thursday,18,31,en,TRUE,631,35,0,42,0,RT @awscloud: The AWS Developer Blog now includes #Python &amp; #GoLang - https://aws.amazon.com/blogs/developer/?sc_channel=sm&sc_campaign=devblog_2015&sc_content=dev_blog&sc_country=global&sc_geo=global&sc_category=awsdeveloperblog&sc_publisher=tw_go&adbsc=social_blogs_20151230_56802176&adbid=682235269009903616&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/682235269009903616/photo/1,tw-30899191,Ireland,Male
tw-682733736698482688,Thursday,18,31,en,FALSE,2874,1,0,59,0,AWS Lambda opens so many possibilities @joelgrus. RT @current_moon:,tw-89249164,United States,Male
tw-682734158469181440,Thursday,18,31,en,TRUE,104,3,0,42,0,"""RT @BotmetricHQ: It was an #AWS-ome year!Botmetric's Step Up On AWS #Cloud  Year In Review: https://www.botmetric.com/blog/botmetrics-step-up-on-aws-cloud-year-in-review/#GoodBye2015 https://""",tw-60656441,India,Male
tw-682735302855782400,Thursday,18,31,_u,FALSE,331,0,0,36,0,Systems Administrator/DevOps Engineer AWS Linux Java - Surrey #job #hiring http://jobrep.com/job/1464024/systems-administrator-devops-engineer-aws-linux-java-surrey/gb/?utm_source=social&utm_medium=soc&utm_campaign=channels,tw-460344889,United States,Unknown
tw-682736848880414720,Thursday,18,31,en,FALSE,281,0,0,43,-2,@christruncer odd I'm building Kali 2.0 from a basic Debian Jessi box on AWS installing kali-linux-all package still getting prompts...,tw-547049101,United States,Male
tw-682737000869400576,Thursday,18,31,en,FALSE,1052,0,0,47,0,How To Improve #AWS IAM #Security- https://blog.conjur.net/how-to-improve-aws-iam-security?utm_content=25575822&utm_medium=social&utm_source=twitter,tw-1588382882,United States,Unknown
tw-682738417474514945,Thursday,18,31,en,FALSE,688,0,0,45,3,K. Will ligo then off to somewhere. Hahaha aws,tw-1457050248,Philippines,Unknown
tw-682739560619601920,Thursday,18,31,en,FALSE,437,0,0,38,0,Great Job Opportunity: Technical Project Manager (Java &amp; AWS) in Hyderabad India http://www.bullhornreach.com/job/2027084_technical-project-manager-java-aws-hyderabad-india?utm_campaign=v1&shortlink=4163998&utm_content=1&utm_source=twitter.com&referer=None&utm_medium=referral #job,tw-69216057,India,Male
tw-682739681105199104,Thursday,18,31,en,TRUE,1642,43,0,50,0,RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did,tw-778897,United Kingdom,Unknown
tw-682740044763807744,Thursday,18,31,en,FALSE,219,0,0,34,1,I figured it out and posted the (a) solution: https://medium.com/@davidrupp/running-titan-graph-database-with-dynamodb-backend-66223ebd2c21 /cc @awscloud,tw-5564082,United States,Male
tw-682740283214290944,Thursday,18,31,en,TRUE,47,44,0,38,0,RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did,tw-105264031,Philippines,Unknown
tw-682740292324356096,Thursday,18,31,en,FALSE,35,0,0,22,2,Welcome to the AWS Developer Blog for Go | AWS Developer Blog #golang  https://aws.amazon.com/fr/blogs/developer/welcome-to-the-aws-developer-blog-for-go/,tw-15797774,United States,Male
tw-682740839475445760,Thursday,18,31,en,TRUE,41,45,0,23,0,RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did,tw-252971902,Sweden,Male
tw-682741395459805184,Thursday,18,31,en,FALSE,1458,0,0,42,3,Aws. Happy three year Twitterversary @TheMickyDolenz1! #OnThisDay #DECOPIC http://twitter.com/Aviatrixt/status/682741395459805184/photo/1,tw-14852216,United States,Unknown
